VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
sách,book,0.22698432937136187,0.6134921646856809,1,6,handshape (67.8%); movement (25.3%); orientation (6.9%)
rửa tay,wash,-0.010839189854136316,0.49458040507293183,1,6,handshape (86.1%); movement (7.7%); orientation (6.2%)
0 (số không),zero,0.3712783466836369,0.6856391733418185,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
mùa thu,autumn,-0.08798138397126273,0.4560093080143686,1,7,handshape (72.6%); movement (19.0%); orientation (7.6%)
bên dưới,below,0.831463343358284,0.9157316716791419,1,6,handshape (64.6%); movement (30.2%); orientation (5.2%)
xe đạp,bicycle,0.680115700497529,0.8400578502487646,1,6,movement (57.0%); handshape (33.8%); spatial relationship (6.2%)
bạn trai,boyfriend,0.04587452387464003,0.52293726193732,3,5,handshape (64.0%); movement (23.4%); orientation (12.6%)
cầu (cây cầu),bridge,-0.2943463942797804,0.3528268028601098,1,4,movement (59.9%); handshape (32.9%); orientation (7.2%)
máy ảnh,camera,0.7113058989140009,0.8556529494570004,1,5,handshape (64.7%); movement (29.2%); orientation (6.1%)
bố,dad,0.8569429064416292,0.9284714532208146,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
8,eight,0.6811497031866827,0.8405748515933413,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
găng tay,gloves,-0.27088716396061485,0.3645564180196926,1,2,handshape (76.5%); orientation (12.5%); movement (11.0%)
con dê,goat,0.2414183737013405,0.6207091868506702,1,6,handshape (50.7%); movement (40.2%); orientation (9.1%)
tạm biệt,goodbye,-0.02081270520999862,0.48959364739500066,1,5,handshape (67.8%); movement (23.8%); orientation (7.6%)
thông tin,information,-0.13093975967940158,0.43453012016029924,3,7,handshape (72.8%); movement (14.7%); orientation (12.5%)
phiên dịch,interpret,0.7804000559321976,0.8902000279660989,3,4,handshape (65.6%); movement (29.7%); orientation (4.7%)
bàn phím (máy vi tính),keyboard,0.4565607383585391,0.7282803691792695,1,6,handshape (80.8%); movement (12.3%); orientation (6.8%)
giận dữ,mad,0.2938257156568402,0.6469128578284201,1,5,handshape (63.6%); movement (25.3%); orientation (9.3%)
núi cao,mountain,0.0041480197412510494,0.5020740098706256,1,5,handshape (61.9%); movement (25.8%); orientation (9.8%)
nấm,mushroom,0.7356851502956598,0.8678425751478299,1,5,handshape (64.6%); movement (24.0%); orientation (11.4%)
cổ,neck,0.489210558200425,0.7446052791002125,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
đại dương,ocean,0.30603844222974236,0.6530192211148712,1,5,handshape (57.1%); movement (34.3%); orientation (8.5%)
mở cửa,open,-0.00047564795937183463,0.4997621760203141,1,7,movement (48.5%); handshape (40.6%); orientation (10.9%)
cha mẹ,parents,0.30198087294686204,0.650990436473431,1,3,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
cầu nguyện,pray,0.4220513978475303,0.7110256989237651,1,6,handshape (76.1%); movement (14.3%); orientation (9.6%)
máy in,printer,-0.09195366172279681,0.4540231691386016,3,6,handshape (63.1%); movement (19.8%); orientation (17.1%)
dự án,project,0.0908091134256564,0.5454045567128282,1,7,handshape (85.6%); orientation (7.4%); movement (7.0%)
mái nhà,roof,0.6559582138675097,0.8279791069337549,1,4,movement (52.7%); handshape (39.6%); orientation (7.7%)
gà trống,rooster,0.07694021247068641,0.5384701062353432,1,5,handshape (57.8%); movement (34.4%); orientation (7.8%)
nhà bác học,scientist,0.18382639974180634,0.5919131998709032,1,5,handshape (80.5%); movement (10.4%); orientation (9.2%)
con tôm,shrimp,-0.0018446435832424925,0.4990776782083787,3,6,handshape (69.8%); movement (22.0%); orientation (7.4%)
bít tất,socks,0.19458797669189015,0.597293988345945,1,6,handshape (69.7%); movement (19.1%); orientation (9.9%)
bậc thang,stairs,-0.17341620793673618,0.4132918960316319,1,6,handshape (56.7%); movement (25.9%); spatial relationship (10.5%)
bơi,swim,-0.10323827893266221,0.4483808605336689,1,4,handshape (62.6%); movement (26.7%); orientation (9.6%)
nếm,taste,0.17463836101783733,0.5873191805089186,1,6,handshape (68.7%); movement (19.0%); orientation (11.2%)
nhiệt kế,thermometer,0.30944968478421964,0.6547248423921098,3,5,handshape (80.3%); movement (14.9%); orientation (4.8%)
1000 (một nghìn),thousand,0.4202654726910775,0.7101327363455388,1,6,handshape (75.4%); movement (16.6%); orientation (8.0%)
3,three,0.4686721522498479,0.7343360761249239,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
sờ,touch,-0.19847111211438387,0.4007644439428081,1,5,handshape (78.9%); movement (13.9%); orientation (6.6%)
2,two,0.4338975293748386,0.7169487646874193,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
rau,vegetable,-0.10210685071043485,0.4489465746447826,1,5,handshape (62.2%); movement (30.0%); orientation (6.3%)
chúng tôi (đại từ),we,0.5140349187781825,0.7570174593890913,1,7,handshape (59.4%); movement (29.2%); orientation (11.3%)
chào mừng,welcome,-0.13711482275971282,0.4314425886201436,1,5,handshape (64.5%); movement (13.1%); spatial relationship (12.3%)
mùa đông,winter,0.842133673145289,0.9210668365726444,1,6,handshape (75.3%); movement (17.9%); orientation (6.7%)
không có,without,-0.05621597028172865,0.4718920148591357,1,7,handshape (63.7%); movement (25.0%); orientation (11.3%)
chó sói,wolf,0.6317158255045878,0.8158579127522939,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bên trên,above,0.453740438659732,0.726870219329866,1,5,handshape (68.1%); movement (22.9%); orientation (9.0%)
bảng chữ cái ngón tay,alphabet,0.1798197259880036,0.5899098629940018,1,4,handshape (72.8%); movement (19.4%); orientation (6.9%)
nghệ sĩ,artist,0.07003603124716945,0.5350180156235848,1,5,handshape (70.3%); movement (17.7%); orientation (12.0%)
con ong,bee,0.15837624726355887,0.5791881236317794,2,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
ủng,boots,-0.2320585301660918,0.3839707349169541,1,3,handshape (68.8%); movement (21.9%); orientation (9.3%)
anh dũng,brave,-0.16140397163320613,0.41929801418339696,3,5,handshape (75.0%); movement (14.0%); orientation (10.7%)
con bướm,butterfly,0.6910177142064678,0.8455088571032339,1,5,handshape (58.6%); movement (36.3%); orientation (5.2%)
Trung Quốc (nước Trung Quốc),china,0.5130911490688763,0.7565455745344382,3,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
quả dừa,coconut,0.4923909822014147,0.7461954911007074,3,5,handshape (64.4%); movement (22.2%); orientation (13.4%)
giám đốc,director,-0.14685090732325295,0.42657454633837355,1,4,handshape (68.0%); movement (24.4%); orientation (6.5%)
Anh (nước Anh),england,0.4698186712585743,0.7349093356292872,3,5,handshape (70.5%); movement (22.7%); orientation (6.8%)
kính,eyeglasses,-0.12445509302245414,0.4377724534887729,1,4,handshape (57.0%); movement (34.2%); orientation (7.8%)
sửa chữa,fix,0.2570490211501524,0.6285245105750762,1,6,handshape (74.7%); movement (15.0%); orientation (10.3%)
4,four,0.7910895529420554,0.8955447764710277,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
sức khỏe,health,0.6268954417487778,0.8134477208743889,1,6,handshape (71.6%); movement (24.4%); orientation (3.9%)
thật thà,honest,-0.3120663007829032,0.3439668496085484,1,5,handshape (66.0%); movement (20.0%); orientation (9.2%)
ôm,hug,0.49220628823331,0.746103144116655,1,5,handshape (68.0%); movement (23.3%); orientation (8.7%)
Italia (nước Italia),italy,-0.038778315379949635,0.48061084231002515,1,5,handshape (65.3%); movement (25.2%); orientation (8.7%)
chìa khóa,key,0.08970939872252837,0.5448546993612642,1,6,handshape (70.2%); movement (18.3%); orientation (10.4%)
lá cây,leaf,0.1960583925243181,0.598029196262159,2,6,handshape (74.7%); movement (13.6%); orientation (11.7%)
bên trái,left,0.2738311490752075,0.6369155745376037,1,5,handshape (72.2%); movement (19.6%); orientation (8.2%)
cô đơn,lonely,0.1655425043990005,0.5827712521995002,1,6,handshape (78.1%); movement (12.3%); orientation (8.8%)
dài,long,-0.1226247608387448,0.43868761958062763,1,5,handshape (67.2%); movement (21.9%); orientation (10.9%)
Mexico (nước Mexico),mexico,-0.6358304709183997,0.18208476454080014,3,6,movement (64.5%); handshape (30.1%); orientation (4.6%)
bánh pía,pie,0.7516251643124734,0.8758125821562367,1,5,handshape (76.4%); movement (14.3%); orientation (9.3%)
đĩa,plate,-0.2024387581034083,0.39878062094829586,1,5,handshape (85.4%); movement (9.1%); orientation (5.5%)
bỏng ngô,popcorn,0.7774185594501369,0.8887092797250684,1,4,handshape (75.3%); movement (16.8%); orientation (7.8%)
7,seven,0.7872844462839929,0.8936422231419965,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
dầu gội đầu,shampoo,-0.2222515027844787,0.38887424860776065,1,5,handshape (45.8%); movement (37.7%); orientation (16.5%)
giá sách,shelf,-0.5532723202342138,0.2233638398828931,1,5,handshape (80.3%); movement (10.9%); orientation (8.9%)
ngôn ngữ kí hiệu,sign language,0.3619923700327533,0.6809961850163766,1,5,handshape (87.4%); movement (7.5%); orientation (5.2%)
6,six,0.8283915296497308,0.9141957648248654,3,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
răng,teeth,-0.04439907036999327,0.4778004648150034,1,4,handshape (75.8%); movement (16.5%); orientation (7.7%)
răng,tooth,0.28599437529793137,0.6429971876489657,1,6,handshape (70.0%); movement (20.1%); orientation (9.9%)
bàn chải đánh răng,toothbrush,0.4183043597554198,0.7091521798777098,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bên dưới,under,0.8343478952754662,0.9171739476377331,1,5,handshape (65.9%); movement (26.7%); orientation (7.4%)
bức tường,wall,0.7568974314474155,0.8784487157237078,1,5,handshape (57.9%); movement (36.9%); orientation (5.2%)
kì lạ,weird,-0.030841761246397315,0.4845791193768013,1,5,handshape (49.5%); movement (33.9%); orientation (15.5%)
a,a,0.9268486262492769,0.9634243131246385,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bụng,abdomen,0.9483697097845263,0.9741848548922631,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
địa chỉ,address,-0.49724332255163395,0.251378338724183,3,4,handshape (77.8%); movement (13.9%); orientation (8.3%)
hoảng sợ,afraid,0.10609429334480035,0.5530471466724002,1,5,handshape (57.1%); movement (30.5%); orientation (10.7%)
đại số,algebra,0.42633376980654425,0.7131668849032722,1,5,handshape (70.9%); movement (19.0%); orientation (10.1%)
b,b,0.24476884855376724,0.6223844242768837,1,4,handshape (68.6%); movement (19.6%); orientation (10.7%)
xe đạp,bike,0.6428212356836193,0.8214106178418097,1,4,movement (51.9%); handshape (34.9%); spatial relationship (8.8%)
con cua,crab,0.298697209211966,0.649348604605983,1,6,handshape (75.5%); movement (15.6%); orientation (8.8%)
buổi tối,evening,0.2816028473317927,0.6408014236658963,3,4,handshape (43.5%); movement (42.9%); orientation (13.6%)
bạn gái,girlfriend,0.04071303348931487,0.5203565167446574,3,5,handshape (69.7%); movement (23.9%); orientation (5.3%)
vàng (kim loại),gold,0.06371153565723392,0.531855767828617,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bãi cỏ,grass,-0.13923036247048282,0.4303848187647586,1,5,handshape (70.0%); movement (17.3%); orientation (12.7%)
máy tính (laptop),laptop,0.38817230024659066,0.6940861501232953,1,6,handshape (55.6%); movement (23.8%); orientation (20.6%)
môi,lip,-0.042098360585899476,0.4789508197070503,1,4,handshape (48.1%); movement (41.4%); orientation (9.3%)
con cú mèo,owl,0.5859647313100492,0.7929823656550246,1,5,movement (56.6%); handshape (39.1%); orientation (4.2%)
p,p,0.25834916255763907,0.6291745812788195,3,4,handshape (75.8%); movement (13.8%); orientation (9.1%)
hòa bình,peace,0.45369719643850825,0.7268485982192541,1,4,handshape (70.3%); movement (21.0%); orientation (8.7%)
tự hào,proud,-0.20596396289206456,0.39701801855396773,1,5,handshape (60.2%); movement (30.1%); orientation (8.9%)
nhận,receive,0.09099541699085464,0.5454977084954273,1,5,handshape (67.9%); movement (20.1%); orientation (11.9%)
con đường,road,-0.2712362401030891,0.36438187994845544,1,4,handshape (49.1%); movement (32.9%); spatial relationship (14.4%)
vai,shoulder,0.1788710243682115,0.5894355121841057,1,4,handshape (58.8%); movement (24.4%); orientation (16.7%)
nói chuyện,speak,-0.018624348266496654,0.4906878258667517,1,5,handshape (46.9%); movement (44.3%); orientation (7.1%)
thìa,spoon,0.0022546755070658037,0.5011273377535329,3,4,handshape (71.0%); movement (18.3%); orientation (9.5%)
mùa xuân,spring,0.3269790132536057,0.6634895066268028,3,6,handshape (76.2%); movement (18.6%); orientation (5.2%)
lưỡi,tongue,0.15680467687051572,0.5784023384352579,1,5,handshape (65.4%); movement (21.7%); orientation (11.9%)
lốc xoáy,tornado,0.3407314085189612,0.6703657042594806,1,5,movement (65.1%); handshape (31.7%); orientation (3.2%)
tháp,tower,-0.026615046981285223,0.4866924765093574,1,3,handshape (66.5%); movement (29.5%); orientation (4.0%)
bồi bàn,waiter,-0.2484763420946406,0.37576182895267973,1,3,handshape (80.2%); movement (12.9%); orientation (6.9%)
cá voi,whale,0.12215849453329922,0.5610792472666496,1,6,handshape (69.7%); movement (20.6%); orientation (9.8%)
nhân viên,worker,-0.06676674798321876,0.4666166260083906,1,5,handshape (74.9%); movement (17.6%); orientation (6.5%)
tính từ,adjective,-0.12196667259290246,0.43901666370354875,1,4,handshape (78.3%); movement (16.6%); orientation (5.1%)
con cá sấu,alligator,0.36380915630692323,0.6819045781534616,1,5,handshape (53.9%); movement (30.8%); orientation (13.1%)
giá sách,bookshelf,0.2215668168225755,0.6107834084112878,1,3,handshape (70.2%); movement (18.5%); orientation (11.3%)
sáng tạo,create,-0.2875487570541454,0.3562256214729273,1,4,handshape (51.5%); movement (45.4%); orientation (2.8%)
con cá sấu,crocodile,0.1381531274145273,0.5690765637072637,1,4,handshape (59.8%); movement (25.1%); orientation (13.8%)
d,d,0.6595933512312038,0.8297966756156019,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
vũ công,dancer,-0.027166983649502194,0.4864165081752489,1,4,handshape (83.5%); movement (12.9%); orientation (3.5%)
nguy hiểm,dangerous,-0.37736528304119765,0.3113173584794012,3,6,handshape (74.8%); movement (16.6%); orientation (8.6%)
kịch,drama,0.5746858799064686,0.7873429399532343,1,5,handshape (68.2%); movement (26.3%); orientation (5.5%)
e,e,0.2065966704855231,0.6032983352427616,1,4,handshape (78.1%); movement (13.7%); orientation (7.3%)
f,f,0.35855932247259303,0.6792796612362966,1,4,handshape (79.8%); orientation (12.9%); movement (6.1%)
lửa,fire,0.40462620892820045,0.7023131044641002,1,3,handshape (58.1%); movement (24.7%); orientation (17.2%)
5,five,0.5539673968306422,0.7769836984153211,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
g,g,0.3345454937557524,0.6672727468778762,2,4,handshape (77.9%); movement (12.1%); orientation (9.0%)
hình học,geometry,0.014345736424362664,0.5071728682121813,1,5,handshape (83.2%); movement (14.1%); orientation (2.7%)
h,h,0.2736297124188473,0.6368148562094237,3,4,handshape (80.7%); movement (9.8%); orientation (8.4%)
i,i,0.9348728495823734,0.9674364247911866,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
j,j,0.2934667271946342,0.6467333635973171,1,4,handshape (84.7%); movement (9.2%); orientation (5.1%)
k,k,0.3370405278251725,0.6685202639125862,1,4,handshape (72.3%); movement (17.1%); orientation (9.4%)
đèn điện,lamp,0.4263833129904283,0.7131916564952141,3,2,handshape (67.6%); movement (25.4%); orientation (7.0%)
lãnh đạo,leader,0.20066633256248373,0.6003331662812419,1,5,handshape (77.7%); movement (13.9%); orientation (8.5%)
nhìn,look at,0.10168416627860088,0.5508420831393004,1,2,handshape (60.1%); movement (31.4%); orientation (7.5%)
m,m,0.35184761335490955,0.6759238066774548,1,4,handshape (73.9%); movement (15.6%); orientation (9.3%)
con muỗi,mosquito,-0.5961844965569636,0.2019077517215182,3,4,handshape (78.5%); movement (11.5%); orientation (9.7%)
n,n,0.33392848670338693,0.6669642433516935,1,4,handshape (80.0%); orientation (10.2%); movement (8.7%)
9,nine,0.14068219107553345,0.5703410955377667,1,5,handshape (68.1%); movement (19.2%); orientation (11.7%)
o,o,0.42127712295763386,0.7106385614788169,1,4,handshape (71.6%); orientation (13.8%); movement (13.1%)
hoặc,or,-0.03435018161087289,0.48282490919456356,3,3,handshape (65.0%); movement (26.3%); orientation (7.9%)
quả lê,pear,0.15258823226815713,0.5762941161340785,1,3,handshape (58.2%); movement (30.1%); orientation (11.7%)
phi công,pilot,-0.24097418420979477,0.3795129078951026,1,4,handshape (57.4%); movement (35.7%); orientation (6.9%)
công chúa,princess,-0.39394922137151145,0.3030253893142443,1,3,handshape (53.2%); movement (40.1%); orientation (5.6%)
q,q,0.2444082012276906,0.6222041006138453,1,4,handshape (70.5%); movement (16.3%); orientation (12.2%)
r,r,0.34678118718593726,0.6733905935929686,1,4,handshape (74.6%); movement (14.3%); orientation (10.0%)
s,s,0.21522903090669238,0.6076145154533462,1,4,handshape (77.4%); movement (13.8%); orientation (7.9%)
biển đông,sea,-0.4114844061409421,0.2942577969295289,1,5,handshape (80.8%); orientation (10.6%); movement (8.6%)
bộ đội,soldier,0.21223078191470862,0.6061153909573543,3,4,handshape (73.1%); movement (19.9%); orientation (7.0%)
bơi lội,swimming,0.5074877529047275,0.7537438764523637,1,6,movement (59.6%); handshape (31.5%); spatial relationship (5.6%)
t,t,0.2873156998384784,0.6436578499192391,3,4,handshape (80.1%); orientation (10.5%); movement (8.4%)
10,ten,0.1778243796657885,0.5889121898328943,1,5,handshape (78.1%); orientation (11.2%); movement (10.0%)
khăn mặt,towel,0.12879556792381958,0.5643977839619098,1,5,handshape (61.2%); movement (30.3%); orientation (8.5%)
u,u,0.23815399921671415,0.619076999608357,1,4,handshape (79.8%); movement (10.4%); orientation (8.9%)
v,v,0.2616459792354985,0.6308229896177493,1,4,handshape (80.6%); orientation (9.9%); movement (8.5%)
w,w,0.3719560236782019,0.685978011839101,1,4,handshape (76.9%); orientation (11.0%); movement (10.9%)
